asset_name,name_variants_merged,sponsor(s),trial_count,phases_seen,statuses_seen,earliest_trial_start,most_recent_update,nct_ids
Acetaminophen and PRP,,QC Kinetix LLC,1,"PHASE1,PHASE2",WITHDRAWN,2023-11-01,2024-10-09,NCT05742763
PRP Concentrate Arm 1,,Healeon Medical Inc,1,NA,RECRUITING,2020-01-10,2024-10-01,NCT04238143
PRP Concentrate Arm 2,,Healeon Medical Inc,1,NA,RECRUITING,2020-01-10,2024-10-01,NCT04238143
Sterile Normal Saline (IV Solution),,Healeon Medical Inc,1,NA,RECRUITING,2020-01-10,2024-10-01,NCT04238143
ECC0509,,Eccogene,2,PHASE1,COMPLETED,2021-07-26,2024-09-25,NCT05012423; NCT05012423
Umbilical Cord Wharton's Jelly Allograft Intra-articular Knee Injection,,R3 Medical Research,1,EARLY_PHASE1,RECRUITING,2024-10-01,2024-09-23,NCT06608134
MM-II dose I,MM-II dose II; MM-II dose III,Sun Pharmaceutical Industries Limited,3,PHASE2,COMPLETED,2020-12-22,2024-08-29,NCT04506463; NCT04506463; NCT04506463
Standard of care for treatment of osteoarthritis (OA) of knee(s),,Organon and Co,1,,COMPLETED,2010-10,2024-08-29,NCT01294696
"MK0663, etoricoxib","MK0663, etoricoxib / Duration of Treatment 12 Weeks; MK0663, etoricoxib / Duration of Treatment: 6 Weeks; MK0663, etoricoxib / Duration of Treatment: Part I (6 weeks), Part II (8 weeks)",Organon and Co,8,PHASE2; PHASE3,COMPLETED,1998-06,2024-08-15,NCT00092703; NCT00092768; NCT00542087; NCT00250445; NCT00242489; NCT00092781; NCT00092755; NCT00269191
MK0663; etoricoxib / Duration of Treatment:4 Weeks,,Organon and Co,1,PHASE4,COMPLETED,2004-12-03,2024-08-15,NCT00140972
DHP2306R1,,"Daehwa Pharmaceutical Co., Ltd.",1,PHASE1,COMPLETED,2023-10-26,2024-07-25,NCT06395155
DHP2306R2,,"Daehwa Pharmaceutical Co., Ltd.",1,PHASE1,COMPLETED,2023-10-26,2024-07-25,NCT06395155
Loxoprofen Sodium Patches(test product ),Loxoprofen Sodium Patches(reference product),Frontier Biotechnologies Inc.,2,PHASE1,UNKNOWN,2024-07,2024-07-19,NCT06510413; NCT06510413
LY3526318,,Eli Lilly and Company,1,PHASE2,COMPLETED,2021-10-12,2024-07-17,NCT05080660
Etoricoxib 50 mg 4% DMSO,Etoricoxib 150 mg 4% DMSO Gel; Etoricoxib 163 mg 4% DMSO gel; Etoricoxib 75 mg 4% DMSO Gel,Organon and Co,4,"PHASE1,PHASE2",COMPLETED,2013-12-23,2024-06-27,NCT01980940; NCT01980940; NCT01980940; NCT01980940
Etoricoxib 75 mg 4% PG Gel,Etoricoxib 150 mg 4% PG Gel,Organon and Co,2,"PHASE1,PHASE2",COMPLETED,2013-12-23,2024-06-27,NCT01980940; NCT01980940
Trichomylin for SAD,,ZYUS Life Sciences Inc.,1,PHASE1,COMPLETED,2021-04-19,2024-06-27,NCT04867057
Trichomylin for MAD,,ZYUS Life Sciences Inc.,1,PHASE1,COMPLETED,2021-04-19,2024-06-27,NCT04867057
LY3857210,,Eli Lilly and Company,1,PHASE2,COMPLETED,2022-11-22,2024-06-26,NCT05620563
EP-104IAR,EP-104IAR 25 mg,Eupraxia Pharmaceuticals Inc.,2,PHASE1; PHASE2,COMPLETED,2016-04,2024-06-25,NCT02609126; NCT04120402
