form,filing_date,report_date,items,accession_number,primary_doc_url,filing_index_url
10-Q,2018-05-03,2018-03-31,,0001396814-18-000014,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000014/pcrx-3312018x10xq.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000014/
8-K,2018-05-03,2018-05-03,"2.02,9.01",0001396814-18-000012,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000012/a8-kxpcrxq12018earningscall.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000012/
8-K,2018-03-29,2018-03-27,5.02,0001104659-18-021260,https://www.sec.gov/Archives/edgar/data/1396814/000110465918021260/a18-9181_18k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465918021260/
10-K,2018-02-28,2017-12-31,,0001396814-18-000009,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000009/pcrx-12312017x10k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000009/
8-K,2018-02-28,2018-02-28,"2.02,9.01",0001396814-18-000008,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000008/pcrx-123117x8xk.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000008/
8-K,2018-01-04,2018-01-04,"2.02,9.01",0001396814-18-000004,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000004/a2017revenue8-k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000004/
8-K,2017-12-07,2017-12-05,"5.02,9.01",0001104659-17-072199,https://www.sec.gov/Archives/edgar/data/1396814/000110465917072199/a17-28116_18k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465917072199/
10-Q,2017-11-08,2017-09-30,,0001396814-17-000031,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000031/pcrx-9302017x10xq.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000031/
8-K,2017-11-08,2017-11-08,"2.02,9.01",0001396814-17-000029,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000029/a8-kxpcrxq32017earningscall.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000029/
8-K,2017-10-25,2017-10-23,"8.01,9.01",0001104659-17-063738,https://www.sec.gov/Archives/edgar/data/1396814/000110465917063738/a17-24440_18k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465917063738/
10-Q,2017-08-02,2017-06-30,,0001396814-17-000024,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000024/pcrx-6302017x10xq.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000024/
8-K,2017-08-02,2017-08-02,"2.02,9.01",0001396814-17-000022,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000022/a8-kxpcrxq22017earningscall.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000022/
8-K,2017-06-29,2017-06-29,"2.05,2.06",0001396814-17-000018,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000018/pcrx8-kx62917.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000018/
8-K,2017-06-15,2017-06-13,"5.02,5.07",0001104659-17-039604,https://www.sec.gov/Archives/edgar/data/1396814/000110465917039604/a17-14048_28k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465917039604/
8-K,2017-05-23,2017-05-22,"5.02,9.01",0001104659-17-034629,https://www.sec.gov/Archives/edgar/data/1396814/000110465917034629/a17-14048_18k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465917034629/
10-Q,2017-05-04,2017-03-31,,0001396814-17-000015,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000015/pcrx-3312017x10xq.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000015/
8-K,2017-05-04,2017-05-04,"2.02,9.01",0001396814-17-000013,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000013/a8-kxpcrxq12017earningscall.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000013/
8-K,2017-03-13,2017-03-07,"1.01,2.03,3.02,8.01,9.01",0001104659-17-016145,https://www.sec.gov/Archives/edgar/data/1396814/000110465917016145/a17-8213_18k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465917016145/
8-K,2017-03-08,2017-03-06,"8.01,9.01",0001104659-17-015024,https://www.sec.gov/Archives/edgar/data/1396814/000110465917015024/a17-7834_18k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465917015024/
10-K,2017-03-01,2016-12-31,,0001396814-17-000009,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000009/pcrx-12312016x10k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000009/
8-K,2017-03-01,2017-03-01,"2.02,9.01",0001396814-17-000007,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000007/pcrx-123116x8xk.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000007/
8-K,2017-01-25,2017-01-24,"1.01,9.01",0001104659-17-003924,https://www.sec.gov/Archives/edgar/data/1396814/000110465917003924/a17-3141_18k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000110465917003924/
8-K,2017-01-06,2017-01-06,"2.02,9.01",0001396814-17-000004,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000004/a2016revenue8-k.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000004/
10-Q,2016-11-02,2016-09-30,,0001396814-16-000028,https://www.sec.gov/Archives/edgar/data/1396814/000139681416000028/pcrx-9302016x10xq.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681416000028/
8-K,2016-11-02,2016-11-02,"2.02,9.01",0001396814-16-000026,https://www.sec.gov/Archives/edgar/data/1396814/000139681416000026/a8-kxpcrxq32016earningscall.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681416000026/
